Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : -2.0
Train SNR : -2.0
load training data? True
Number of heads : 8
Number of layers: 6
Positional encoding : static
Print frequency: 100
Num of steps: 150000
combinational training snr:  True
64
Training Model for 8,16 anew
Number of parameters : 299661
Did not find standard validation data
Need to save for: 1000
tensor([[-1., -1., -1., -1., -1., -1., -1., -1.]], device='cuda:0')
tensor([[ 1.,  1., -1., -1., -1., -1., -1.,  1.]], device='cuda:0')
[0/150000] At -2 dB, Loss: 1.2840062, Train BER (-2 dB) : 0.5527649, Valid BER: 0.4607086, Tgt BER: 0.4607086, Noiseless BER 0.4135742, Valid BLER : 0.9862061
[8000/150000] At -2 dB, Loss: 0.2598695, Train BER (-2 dB) : 0.0885162, Valid BER: 0.3081970, Tgt BER: 0.3081970, Noiseless BER 0.0000000, Valid BLER : 0.7387695
[8100/150000] At -2 dB, Loss: 0.2673122, Train BER (-2 dB) : 0.0910034, Valid BER: 0.3060150, Tgt BER: 0.3060150, Noiseless BER 0.0000000, Valid BLER : 0.7380371
[8200/150000] At -2 dB, Loss: 0.2522793, Train BER (-2 dB) : 0.0858002, Valid BER: 0.3089447, Tgt BER: 0.3089447, Noiseless BER 0.0000000, Valid BLER : 0.7380371
[8300/150000] At -2 dB, Loss: 0.2598006, Train BER (-2 dB) : 0.0886993, Valid BER: 0.3036652, Tgt BER: 0.3036652, Noiseless BER 0.0000000, Valid BLER : 0.7320557
[8400/150000] At -2 dB, Loss: 0.2562277, Train BER (-2 dB) : 0.0887451, Valid BER: 0.3136444, Tgt BER: 0.3136444, Noiseless BER 0.0000000, Valid BLER : 0.7396240
[8500/150000] At -2 dB, Loss: 0.2667837, Train BER (-2 dB) : 0.0919647, Valid BER: 0.3056946, Tgt BER: 0.3056946, Noiseless BER 0.0000000, Valid BLER : 0.7308350
[8600/150000] At -2 dB, Loss: 0.2597294, Train BER (-2 dB) : 0.0890045, Valid BER: 0.3118591, Tgt BER: 0.3118591, Noiseless BER 0.0000000, Valid BLER : 0.7414551
[8700/150000] At -2 dB, Loss: 0.2553509, Train BER (-2 dB) : 0.0869598, Valid BER: 0.3036041, Tgt BER: 0.3036041, Noiseless BER 0.0000000, Valid BLER : 0.7264404
[8800/150000] At -2 dB, Loss: 0.2618194, Train BER (-2 dB) : 0.0904694, Valid BER: 0.3094177, Tgt BER: 0.3094177, Noiseless BER 0.0000000, Valid BLER : 0.7435303
[8900/150000] At -2 dB, Loss: 0.2602320, Train BER (-2 dB) : 0.0891876, Valid BER: 0.3083649, Tgt BER: 0.3083649, Noiseless BER 0.0000000, Valid BLER : 0.7392578
[9000/150000] At -2 dB, Loss: 0.2576692, Train BER (-2 dB) : 0.0888977, Valid BER: 0.3101196, Tgt BER: 0.3101196, Noiseless BER 0.0000000, Valid BLER : 0.7384033
[9100/150000] At -2 dB, Loss: 0.2541489, Train BER (-2 dB) : 0.0857544, Valid BER: 0.3086853, Tgt BER: 0.3086853, Noiseless BER 0.0000000, Valid BLER : 0.7385254
[9200/150000] At -2 dB, Loss: 0.2530784, Train BER (-2 dB) : 0.0862732, Valid BER: 0.3080750, Tgt BER: 0.3080750, Noiseless BER 0.0000000, Valid BLER : 0.7313232
[9300/150000] At -2 dB, Loss: 0.2617040, Train BER (-2 dB) : 0.0903625, Valid BER: 0.3068848, Tgt BER: 0.3068848, Noiseless BER 0.0000000, Valid BLER : 0.7368164
[9400/150000] At -2 dB, Loss: 0.2581784, Train BER (-2 dB) : 0.0886230, Valid BER: 0.3086700, Tgt BER: 0.3086700, Noiseless BER 0.0000000, Valid BLER : 0.7352295
[9500/150000] At -2 dB, Loss: 0.2495159, Train BER (-2 dB) : 0.0853577, Valid BER: 0.3083344, Tgt BER: 0.3083344, Noiseless BER 0.0000000, Valid BLER : 0.7310791
[9600/150000] At -2 dB, Loss: 0.2577140, Train BER (-2 dB) : 0.0885773, Valid BER: 0.3104706, Tgt BER: 0.3104706, Noiseless BER 0.0000000, Valid BLER : 0.7407227
[9700/150000] At -2 dB, Loss: 0.2505968, Train BER (-2 dB) : 0.0852051, Valid BER: 0.3132782, Tgt BER: 0.3132782, Noiseless BER 0.0000000, Valid BLER : 0.7445068
[9800/150000] At -2 dB, Loss: 0.2653577, Train BER (-2 dB) : 0.0906677, Valid BER: 0.3115234, Tgt BER: 0.3115234, Noiseless BER 0.0000000, Valid BLER : 0.7374268
[9900/150000] At -2 dB, Loss: 0.2598798, Train BER (-2 dB) : 0.0890198, Valid BER: 0.3102570, Tgt BER: 0.3102570, Noiseless BER 0.0000000, Valid BLER : 0.7352295
[10000/150000] At -2 dB, Loss: 0.2564768, Train BER (-2 dB) : 0.0871429, Valid BER: 0.3041840, Tgt BER: 0.3041840, Noiseless BER 0.0000000, Valid BLER : 0.7366943
[10100/150000] At -2 dB, Loss: 0.2538889, Train BER (-2 dB) : 0.0867615, Valid BER: 0.3068848, Tgt BER: 0.3068848, Noiseless BER 0.0000000, Valid BLER : 0.7268066
[10200/150000] At -2 dB, Loss: 0.2611071, Train BER (-2 dB) : 0.0892792, Valid BER: 0.3071747, Tgt BER: 0.3071747, Noiseless BER 0.0000000, Valid BLER : 0.7362061
[10300/150000] At -2 dB, Loss: 0.2547748, Train BER (-2 dB) : 0.0876465, Valid BER: 0.3089600, Tgt BER: 0.3089600, Noiseless BER 0.0000000, Valid BLER : 0.7325439
[10400/150000] At -2 dB, Loss: 0.2538886, Train BER (-2 dB) : 0.0875092, Valid BER: 0.3042297, Tgt BER: 0.3042297, Noiseless BER 0.0000000, Valid BLER : 0.7292480
[10500/150000] At -2 dB, Loss: 0.2533161, Train BER (-2 dB) : 0.0863037, Valid BER: 0.3075714, Tgt BER: 0.3075714, Noiseless BER 0.0000000, Valid BLER : 0.7352295
