Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
110,"[0, 1, 1, 1, 0, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 0]",,"[0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0]","[2.11556, 0.81925, -0.72077, -1.68409, -0.81584, 0.75289, -0.25571, 0.7023, 1.49134, 1.20757, -1.1864, -0.45671, -1.19921, 0.38697, -0.33203, 0.39824]","[1.05133, -1.05201, -1.05133, -1.05276, 1.05294, 1.05245, -1.05285, 1.05235]"
111,"[0, 1, 1, 1, 0, 0, 0, 1]","[0, 1, 1, 1, 0, 0, 0, 1]",,"[0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]","[1.20105, 0.23094, -2.20317, 1.96055, -1.02771, -0.91881, -0.04643, -1.55164, 1.63943, -0.78783, -1.31039, 0.49491, -0.42147, -1.51688, -2.17689, -0.40743]","[1.0527, -1.05106, -1.05016, -1.05114, 1.05015, 1.05156, 1.05257, -1.05146]"
112,"[0, 1, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 1, 1, 0, 0, 0]",,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]","[-0.5656, 1.90551, -0.23539, -0.91862, -0.32369, 2.94103, 0.38881, 1.63203, -2.01026, -1.05412, 2.17383, -1.42946, 2.50705, 0.11867, 0.84051, 0.89684]","[1.05283, -0.46484, 1.0689, -1.04327, -1.05385, 1.05102, 1.05068, 1.05128]"
113,"[0, 1, 1, 0, 1, 1, 1, 1]","[0, 1, 1, 0, 1, 1, 1, 1]",,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1]","[1.23032, -1.86972, -0.58708, -0.11145, 2.27295, 0.41135, 1.49418, -0.68705, 0.79833, -2.79021, -1.81213, -1.00354, -0.18515, 0.99954, 0.84593, -0.67672]","[1.04907, -1.05242, -1.04864, 1.0473, -1.0653, -1.05457, -1.05229, -1.05338]"
114,"[0, 1, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 1, 1, 1, 1, 0]",,"[1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1]","[-1.41094, 0.88867, 0.40251, 0.51032, -1.84414, -1.34787, -0.99709, 0.79123, 0.08198, 0.41527, 1.38543, -0.03249, -1.27757, -1.51506, -0.85669, -0.04203]","[1.04752, 1.06056, 1.05996, -0.9891, -1.05218, -1.05955, -1.05188, 1.04993]"
115,"[0, 1, 1, 0, 1, 1, 0, 0]","[0, 1, 1, 0, 1, 1, 0, 0]",,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]","[0.62461, 0.47819, -0.23726, 1.24855, 0.78549, 0.39957, 1.5065, 2.32093, 0.68853, 0.98982, -1.1854, 1.22207, 0.59478, -1.333, 0.6428, 1.43723]","[1.04679, -1.05819, -1.03867, 1.04653, -1.04117, -1.05094, 1.0423, 1.04154]"
116,"[0, 1, 1, 0, 1, 0, 1, 1]","[0, 1, 1, 0, 1, 0, 1, 1]",,"[1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1]","[-1.06079, 1.60814, -1.00541, -1.22233, -0.62649, -1.44149, 0.50308, -0.13833, -1.57054, 1.78713, -1.01178, -2.36451, -1.00913, -1.50322, 1.0994, -0.97202]","[1.05196, -1.05237, -1.05282, 1.05114, -1.04844, 1.0531, -1.0517, -1.0502]"
117,"[0, 1, 1, 0, 1, 0, 1, 0]","[0, 1, 1, 0, 1, 0, 1, 0]",,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[0.6963, -0.5315, 1.12902, 0.51863, 0.25386, 0.75116, -1.41748, 0.70771, 1.02073, -1.17739, 1.26182, 0.42313, 0.93319, 0.01646, -0.27668, 1.36294]","[1.05011, -1.05407, -1.05328, 1.04921, -1.0503, 1.05122, -1.05313, 1.05098]"
118,"[0, 1, 1, 0, 1, 0, 0, 1]","[0, 1, 1, 0, 1, 0, 0, 1]",,"[0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1]","[1.15548, 0.80912, 1.7208, -0.84323, 1.68131, -0.94716, -1.16371, -1.51629, 1.05609, 1.30129, 1.09804, 0.29747, 0.24628, -1.8199, -1.55023, -0.72099]","[1.05085, -1.05255, -1.04465, 1.02025, -1.05049, 1.04872, 1.04994, -1.00594]"
119,"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0]",,"[1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[-0.33767, -1.11193, -0.81229, 1.53607, 0.12841, -0.16716, 0.55853, 0.17063, -2.14721, 0.64099, -0.98072, 1.41852, -2.46546, 0.38269, -0.15379, 0.36145]","[-0.98727, 1.05437, 1.09506, 1.07563, 1.03726, 1.08338, -1.04868, 1.08285]"
120,"[0, 1, 1, 0, 0, 1, 1, 1]","[0, 1, 1, 0, 0, 1, 1, 1]",,"[1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1]","[-1.66054, -0.9186, -0.72867, -0.7895, -2.22273, 1.02933, 0.5875, -1.84305, -1.85857, -1.09921, -0.67428, -0.59725, -1.39498, 1.51308, 0.42738, -0.85648]","[1.05231, -1.05197, -1.05158, 1.05169, 1.0506, -1.05309, -1.05214, -1.05272]"
121,"[0, 1, 1, 0, 0, 1, 1, 0]","[0, 1, 1, 0, 0, 1, 1, 0]",,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[1.23129, 0.86978, 0.51021, 1.4756, 1.04961, -2.07147, -0.98906, 1.11135, 0.8831, 1.5888, 0.87227, 1.23647, 1.38136, 0.03817, -1.85189, 0.70343]","[1.04595, -1.05553, -1.05555, 1.04101, 1.04992, -1.03676, -1.05875, 1.04264]"
122,"[0, 1, 1, 0, 0, 1, 0, 1]","[0, 1, 1, 0, 0, 1, 0, 1]",,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1]","[1.29022, -2.05169, 1.61579, -0.58873, 0.64187, 0.96121, -1.24481, -1.74474, 1.70712, -1.97759, 0.59617, -1.12562, 2.27287, 0.72439, -1.39722, -0.3366]","[1.05284, -1.05143, -1.05384, 1.04974, 1.05206, -1.05315, 1.05203, -1.053]"
123,"[0, 1, 1, 0, 0, 1, 0, 0]","[0, 0, 1, 1, 0, 1, 0, 0]",,"[1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0]","[-0.98781, 0.5225, 0.26862, 0.2501, -0.4826, -2.25316, 0.45534, 0.37509, -1.07198, 1.29239, 0.12787, -0.02421, -2.52008, -1.84455, 1.43661, 0.92996]","[1.05052, 1.05945, -1.02989, -1.0347, 1.04711, -1.05007, 1.04963, 1.04975]"
124,"[0, 1, 1, 0, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 1, 0]",,"[1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0]","[-1.26989, -0.56627, 0.31154, 1.25843, -0.46601, 1.87652, -1.62791, 0.0502, -0.35209, -1.37002, 1.61227, 2.02515, -2.52459, 0.45783, -1.54837, 1.43038]","[1.0507, -1.05366, -1.05351, 1.04993, 1.05038, 1.05172, -1.05324, 1.05162]"
125,"[0, 1, 1, 0, 0, 0, 0, 1]","[0, 1, 1, 0, 0, 0, 0, 1]",,"[1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1]","[-0.57126, 1.67301, 0.65336, -1.19742, -1.12994, -0.91254, -0.49358, -1.05906, 0.04641, 1.11449, 1.31403, -0.48906, -0.53201, -1.91338, -1.06379, -1.14581]","[1.0512, -1.04963, -1.04782, 1.04968, 1.04758, 1.04933, 1.04959, -1.0463]"
126,"[0, 1, 0, 1, 1, 1, 1, 1]","[0, 1, 0, 1, 1, 1, 1, 1]",,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]","[0.69949, 0.73481, -0.708, 0.70109, 1.33248, 1.832, 1.08892, -0.75721, 0.662, 0.53673, -0.54298, 1.71051, 2.30132, 0.1065, 1.2355, -1.17097]","[1.05184, -1.05146, 1.05117, -1.05281, -1.05159, -1.05189, -1.0505, -1.05153]"
127,"[0, 1, 0, 1, 1, 1, 1, 0]","[0, 0, 1, 0, 1, 1, 1, 0]",,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[-1.90286, -0.66109, -0.4428, -1.19217, -1.41577, -1.01726, -1.0901, 1.22434, 0.1281, -1.03286, 1.93834, 0.30625, -0.52253, -1.5385, -0.84521, 2.12543]","[1.05245, 0.82144, -1.04916, 1.04495, -1.0509, -1.05067, -1.05171, 1.05194]"
128,"[0, 1, 0, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 0, 1]",,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1]","[-1.48861, 0.63615, 1.22002, 1.04582, -1.25579, 1.34734, -0.73964, -1.87526, -0.94574, 0.07314, 1.3603, 0.92308, -1.63926, 0.39035, -1.39243, -2.21229]","[1.05275, -1.05365, 1.05065, -1.05347, -1.05267, -1.05393, 1.05179, -1.05305]"
129,"[0, 1, 0, 1, 1, 1, 0, 0]","[0, 0, 1, 1, 1, 1, 0, 0]",,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[0.22481, -2.03377, 1.06346, -1.40165, 1.20479, -0.64389, 0.05093, 0.35808, 1.74931, 0.09355, 0.11443, -1.83326, 1.72604, -0.53723, 1.54123, 1.18887]","[1.05002, 1.07094, -1.0498, -1.05158, -1.04893, -1.05068, 1.04933, 1.04921]"
130,"[0, 1, 0, 1, 1, 0, 1, 1]","[0, 1, 0, 1, 1, 0, 1, 1]",,"[1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1]","[-0.45284, -0.33948, -1.11886, 0.42141, -1.15499, -1.86527, 1.76975, -1.1985, -0.92173, -1.64352, -2.07866, 0.58258, -0.56231, -2.1787, 1.50846, -1.88155]","[1.05172, -1.051, 1.05489, -1.04978, -1.04599, 1.05322, -1.05102, -1.04995]"
131,"[0, 1, 0, 1, 1, 0, 1, 0]","[1, 0, 1, 1, 1, 1, 0, 0]",,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]","[0.27382, 0.26369, 1.2826, -2.58005, 1.25695, 1.32014, -0.54791, -0.41614, 1.07617, 2.37405, 0.70678, -0.58818, 1.47509, 1.84314, 0.17504, 0.15717]","[-1.02994, 1.07185, -0.95898, -0.44674, -1.05007, -1.03708, 0.90882, 0.97695]"
132,"[0, 1, 0, 1, 1, 0, 0, 1]","[0, 1, 0, 1, 1, 0, 0, 1]",,"[1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1]","[-0.0412, -1.26101, 2.47032, 0.72309, 2.58552, -0.40557, -0.19403, -1.33227, 1.5295, -0.149, 1.20647, 1.65655, 0.40599, -1.31671, -1.76547, -1.15029]","[1.05339, -1.05277, 1.05099, -1.04935, -1.04328, 1.0524, 1.0524, -1.05169]"
133,"[0, 1, 0, 1, 0, 1, 1, 1]","[0, 1, 0, 1, 0, 1, 1, 1]",,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]","[-0.96899, 0.91517, -0.64833, 1.04677, -0.4926, 0.69515, 2.91528, -1.61632, 1.03384, 1.79625, -1.62629, 1.18525, -0.88072, 0.68801, 0.82985, -0.71318]","[1.04993, -1.04872, 1.04696, -1.05175, 1.05308, -1.05275, -1.05073, -1.05229]"
134,"[0, 1, 0, 1, 0, 1, 1, 0]","[0, 1, 0, 1, 0, 1, 1, 0]",,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[0.47192, -1.65277, 1.16995, -1.7375, 1.64084, -0.37761, -0.58667, 1.85808, 1.82899, -1.21254, 0.09329, -2.31848, 0.47401, -0.42665, -1.25328, 0.37333]","[1.05234, -1.05045, 1.05085, -1.05276, 1.05007, -1.051, -1.05222, 1.05135]"
135,"[0, 1, 0, 1, 0, 1, 0, 1]","[0, 1, 1, 1, 1, 1, 0, 1]",,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1]","[1.64065, 0.67277, -0.00822, 1.19324, -0.02603, 1.54989, -0.80342, -0.78751, 0.83202, -0.30763, 2.84403, 0.73724, 0.39152, 0.09618, -0.72088, -1.45228]","[1.05079, -1.06254, -1.06035, -1.04847, -1.04687, -1.0508, 1.05031, -1.0487]"
136,"[0, 1, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 1, 0, 1, 0, 0]",,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0]","[-0.05222, -1.26197, -1.49758, -1.16996, -0.59646, -0.09104, -0.29691, 1.16003, -2.43977, -1.26693, -0.38484, -0.7179, -1.25217, -2.75873, 2.26671, 1.95544]","[1.04348, -1.03805, 1.05163, -1.05005, 1.04626, -1.03714, 1.0522, 1.04496]"
137,"[0, 1, 0, 1, 0, 0, 1, 1]","[0, 1, 0, 1, 0, 0, 1, 1]",,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1]","[2.89492, -1.94984, -1.83879, 1.05971, 1.32707, -1.00268, 0.74651, -0.69489, 0.15674, -1.17986, -0.32844, 0.66491, 0.7308, -0.85842, 0.94762, -1.24743]","[1.04993, -1.05054, 1.05294, -1.04951, 1.05247, 1.05192, -1.05141, -1.05075]"
138,"[0, 1, 0, 1, 0, 0, 1, 0]","[0, 1, 1, 1, 1, 0, 1, 0]",,"[1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0]","[-1.04874, 1.72388, 1.32834, -1.0496, -1.33513, 0.64218, -0.35785, 0.33221, -0.28036, 0.35048, -0.43355, -1.42524, 0.01129, 0.13805, -1.31306, 1.82829]","[1.05124, -1.05141, -1.03881, -1.05234, -1.04043, 1.05226, -1.0528, 1.05213]"
139,"[0, 1, 0, 1, 0, 0, 0, 1]","[0, 1, 0, 1, 0, 0, 0, 1]",,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]","[-0.87314, -0.81575, 0.4011, 0.69562, -0.74838, -1.52658, -1.57249, -1.93735, -0.71048, -1.38141, 1.00032, 2.34358, -0.61084, -0.74271, -1.34847, -1.10239]","[1.0526, -1.05357, 1.04868, -1.05201, 1.05061, 1.05197, 1.05196, -1.05194]"
140,"[0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 0, 0]",,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[1.40849, 0.28451, -2.21438, -1.39252, 1.51062, 1.65285, 0.98685, -1.03249, 1.02252, 1.01653, -1.3051, -1.35519, 0.19933, 1.4026, 1.18828, 1.38735]","[1.05007, -1.04987, 1.07597, -1.05282, 1.07311, 1.07092, 1.06774, 1.06656]"
141,"[0, 1, 0, 0, 1, 1, 1, 1]","[0, 1, 0, 0, 1, 1, 1, 1]",,"[1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1]","[-1.50277, -0.93124, 0.1148, -0.99599, 3.01064, 1.45363, 1.34371, -0.71016, -1.62781, -0.63157, -0.03449, -1.35755, 1.27206, 2.18222, 1.27371, -1.03958]","[1.04792, -1.05035, 1.05432, 1.04782, -1.05167, -1.05504, -1.05257, -1.05436]"
142,"[0, 1, 0, 0, 1, 1, 1, 0]","[0, 1, 0, 0, 0, 1, 1, 0]",,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]","[1.23029, -0.20283, -1.0861, 0.60778, -1.54532, -0.90914, 0.5925, 0.49599, 0.87935, 1.03679, -0.81707, 0.60432, -1.7881, -1.42467, -2.74708, 1.54457]","[1.02769, -0.86935, 1.02291, 1.01905, 0.90758, -1.03374, -1.05077, 1.01303]"
143,"[0, 1, 0, 0, 1, 1, 0, 1]","[1, 0, 0, 1, 0, 1, 1, 1]",,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1]","[0.75412, -1.3035, -2.14197, -1.6865, -1.46889, -0.06938, -1.4861, -1.2118, 1.98434, -0.33207, -0.04261, 0.25635, -2.19709, 1.53735, 0.24391, -1.45236]","[-1.04141, 1.02274, 1.08057, -1.06215, 1.03106, -1.06257, -1.0578, -1.05946]"
144,"[0, 1, 0, 0, 1, 1, 0, 0]","[0, 1, 0, 0, 1, 1, 0, 0]",,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[-0.58664, 1.24659, 0.87487, 0.74435, 1.15143, -0.82682, 1.7236, 1.3364, -0.9939, 0.94168, 0.75864, 0.98689, 0.66842, -1.18511, 0.47679, 0.25023]","[1.04927, -1.05219, 1.04422, 1.04742, -1.05109, -1.05274, 1.04844, 1.0485]"
145,"[0, 1, 0, 0, 1, 0, 1, 1]","[0, 1, 1, 1, 0, 1, 0, 0]",,"[0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[1.33675, 0.85713, 0.68778, -0.13841, -0.06485, -0.38027, 2.68808, -0.93184, 0.88357, -0.32333, 0.71969, -0.3703, -1.12826, -0.9101, 1.07316, 1.11017]","[1.04732, -0.99831, -1.02877, -1.03329, 1.06095, -1.03352, 1.06214, 1.05749]"
146,"[0, 1, 0, 0, 1, 0, 1, 0]","[0, 1, 0, 0, 1, 0, 1, 0]",,"[1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[-0.58023, -0.8461, -0.75811, 2.34272, 0.74504, 1.93826, -0.4832, 1.58081, -0.36714, -1.71957, -0.33964, 0.58977, 0.49646, 1.48891, -1.4757, 1.83652]","[1.05043, -1.05357, 1.04981, 1.04954, -1.04967, 1.05163, -1.05345, 1.05137]"
147,"[0, 1, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 0, 1]",,"[1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]","[-1.01741, 1.5257, -0.01923, -0.70934, 1.07888, -0.98974, -0.85741, -1.63, 0.07544, -0.28871, -0.29981, -1.1325, 0.97784, -0.15238, -0.7155, -1.125]","[1.05342, 1.05544, 1.05102, 1.05136, -1.05503, 1.05182, 1.05213, -1.0524]"
148,"[0, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 1]",,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]","[-0.12254, -0.86632, 0.80753, 1.52061, -0.65049, 1.42245, 1.14259, 0.18529, 2.08916, 0.28688, 0.8955, 1.48216, -1.19934, -0.65182, 1.34399, -0.48506]","[-1.02836, -1.00988, 1.04301, 1.04358, 1.04799, 0.95847, 1.03331, -0.85587]"
149,"[0, 1, 0, 0, 0, 1, 1, 1]","[0, 1, 0, 0, 0, 1, 1, 1]",,"[0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1]","[1.38826, -1.77934, 0.33974, -1.81973, -0.63866, 1.02643, 2.16952, -1.01455, 1.43271, -0.24458, 2.04134, -3.16316, -1.95457, 1.48888, 0.57358, -1.13147]","[1.05148, -1.05173, 1.04971, 1.05179, 1.05532, -1.05212, -1.05058, -1.05106]"
150,"[0, 1, 0, 0, 0, 1, 1, 0]","[0, 1, 0, 0, 0, 1, 1, 0]",,"[1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0]","[-0.26097, 0.99256, -0.11583, -0.60363, 0.38898, -0.77627, -1.24465, 1.53496, -1.43415, 1.1748, -0.67693, 1.12028, 1.44541, -1.20133, -0.94796, 2.43089]","[1.05254, -1.05911, 1.06031, 1.03268, 1.04943, -1.05126, -1.0525, 1.05124]"
151,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 0, 1, 0, 1, 1, 1, 0]",,"[0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0]","[0.05038, -1.28093, -0.48078, -1.7351, 2.05198, 0.5392, -0.8699, -0.74193, -0.89366, -1.39894, -1.48339, 0.43395, 1.66153, 0.42379, -0.00055, 0.43249]","[-1.05142, 0.88579, -0.67633, 1.06057, -1.04654, -0.83184, -1.02631, 1.06193]"
152,"[0, 1, 0, 0, 0, 0, 1, 1]","[0, 1, 0, 0, 1, 1, 1, 1]",,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[-1.37132, 0.69592, 2.94676, -1.04003, 2.02692, 0.47808, 1.63493, -0.74342, -0.55407, -0.04147, 0.48512, -1.85257, 0.08561, -1.0454, 1.53063, -1.11375]","[1.05503, -0.93219, 1.0628, 1.06511, -1.0472, -1.03679, -1.0407, -1.04206]"
153,"[0, 1, 0, 0, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 1, 0]",,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1]","[0.99786, -0.55347, -0.44168, 1.36661, -1.5964, 1.5043, -0.99231, 1.83646, -0.59389, -0.51515, 0.16253, 0.32365, -1.33397, 0.43952, -2.11614, -0.16924]","[1.04633, -1.02116, -1.05663, 1.07724, 1.06953, 1.06621, -1.0359, 1.06693]"
154,"[0, 0, 1, 1, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1, 1, 1]",,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1]","[1.91369, -0.09204, 2.04043, 0.47412, 1.63931, 1.70347, 0.82236, -1.20667, 1.61889, -0.68083, 1.37073, 0.50951, 0.40529, -0.29732, 2.83036, -0.19182]","[1.05669, 1.05915, -1.05109, -1.04524, -1.04638, -1.03838, -1.05354, -1.05129]"
155,"[0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 1, 1, 1, 1, 0, 1]",,"[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]","[-1.1381, -0.96529, -1.2746, 0.60668, -1.47433, 0.14107, -0.63895, -0.79865, -1.23554, -0.84053, -1.34669, 1.4649, -0.87591, 1.15153, -1.6187, -1.40371]","[1.05389, 1.0523, -1.0536, -1.05413, -1.05333, -1.05351, 1.05308, -1.05297]"
156,"[0, 0, 1, 1, 1, 1, 0, 0]","[0, 0, 1, 1, 1, 1, 0, 0]",,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]","[1.35331, 1.15653, 0.75909, -0.63577, 0.30692, -0.06328, 1.99146, 1.81146, 2.48366, 0.21615, -0.00295, -1.81908, 0.60607, -1.39168, 0.74675, 0.97328]","[1.04932, 1.04883, -1.04812, -1.04679, -1.05215, -1.05043, 1.04837, 1.04842]"
157,"[0, 0, 1, 1, 1, 0, 1, 1]","[0, 0, 1, 1, 1, 0, 1, 1]",,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1]","[-1.00618, 0.34428, 0.57596, 0.24486, -0.79198, -1.43321, 0.69028, -1.54706, -1.5954, 1.61916, 0.71316, 0.89179, 0.35282, -0.89613, 0.95037, -1.41269]","[1.05332, 1.06093, -1.05186, -1.04256, -1.00839, 1.06008, -1.04967, -1.0446]"
158,"[0, 0, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]",,"[1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[-1.24285, -2.64141, -0.18119, 0.06266, 0.41983, 1.63181, 0.28958, 1.09401, -1.36718, 0.52462, 0.84229, 0.06901, -2.31271, 1.28923, 0.84297, 0.58659]","[1.0529, 1.07374, 1.06746, 1.05331, -1.06371, 1.05265, 1.05333, 1.05296]"
159,"[0, 0, 1, 1, 0, 1, 1, 0]","[0, 0, 1, 1, 0, 1, 1, 0]",,"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0]","[0.79884, 1.40011, 0.17426, -1.94397, 2.15654, -0.11672, -1.34618, 1.90065, 1.88186, 2.06494, -1.2794, -0.52228, 1.64227, -0.79078, -0.78852, 1.66439]","[1.05254, 1.05283, -1.05646, -1.0525, 1.05034, -1.05054, -1.05232, 1.05166]"
160,"[0, 0, 1, 1, 0, 1, 0, 0]","[0, 0, 1, 1, 0, 1, 0, 0]",,"[1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0]","[-1.5779, 0.49416, 1.72115, -0.34303, -0.54338, -2.21517, 1.45192, 1.33948, -0.36154, -0.05434, 2.51504, -0.8125, -1.3914, -1.34723, 0.3352, 1.31401]","[1.04877, 1.01124, -1.04703, -1.04199, 1.05007, -1.04951, 1.04775, 1.04761]"
161,"[0, 0, 1, 1, 0, 0, 1, 1]","[0, 0, 1, 1, 0, 0, 1, 1]",,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1]","[-0.62172, 1.09449, 0.52513, 1.56516, 1.4772, -0.41698, 0.81664, -1.5419, 1.20836, 0.61379, 1.44388, 1.34954, 1.20696, -0.74212, 0.38403, -1.33234]","[1.05042, 1.05418, -1.05579, -1.04989, 1.04983, 1.05275, -1.05267, -1.05222]"
162,"[0, 0, 1, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 1, 0, 1]",,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0]","[-0.77917, -1.76741, -0.12082, -0.88912, -0.57468, 1.06284, -1.42993, -0.82711, -0.79444, 0.36726, -1.22783, -1.74709, -0.7094, 0.64447, -2.44806, 1.51344]","[1.05641, 0.85821, 0.96473, 1.01552, -1.00984, -1.03202, 1.02878, -0.99683]"
163,"[0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0]",,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","[1.5853, -1.01385, 1.21235, -0.80316, 1.76479, 0.40624, 0.89886, 0.48239, 0.43772, -1.38674, 0.81594, -1.22914, 0.92941, 1.08426, 0.98648, 0.88706]","[1.05247, 1.05268, -1.05202, -1.04969, 1.05402, 1.05212, 1.05307, 1.05261]"
164,"[0, 0, 1, 0, 1, 1, 1, 1]","[0, 0, 1, 0, 1, 1, 1, 1]",,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1]","[-0.84248, 0.0509, -1.61472, -0.21841, 2.37722, 1.25763, 0.41483, 0.32924, -1.39318, 0.05185, -1.28896, -0.31033, 1.37311, 1.47492, 1.90005, -1.22151]","[1.04928, 1.04554, -1.05805, 1.05984, -1.06379, -1.07204, -1.06622, -1.06983]"
