Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
Code : polar 
Rate Profile : polar
Validation SNR : 1.2
Number of heads : 8
Number of layers: 6
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 20000
Training Model for 8,16 anew
Number of parameters : 299661
Did not find standard validation data
Need to save for: 5000
[0/20000] At 1 dB, Loss: 1.6820605, Train BER (1 dB) : 0.5298920, Valid BER: 0.4490204, Tgt BER: 0.4490204, Noiseless BER 0.4340363, Valid BLER : 0.9543457
[9700/20000] At 1 dB, Loss: 0.4705020, Train BER (1 dB) : 0.2076721, Valid BER: 0.2051697, Tgt BER: 0.2051697, Noiseless BER 0.0000000, Valid BLER : 0.6384277
[9800/20000] At 1 dB, Loss: 0.4652745, Train BER (1 dB) : 0.2050018, Valid BER: 0.2050323, Tgt BER: 0.2050323, Noiseless BER 0.0000000, Valid BLER : 0.6335449
[9900/20000] At 1 dB, Loss: 0.4730491, Train BER (1 dB) : 0.2090912, Valid BER: 0.2049561, Tgt BER: 0.2049561, Noiseless BER 0.0000000, Valid BLER : 0.6440430
[10000/20000] At 1 dB, Loss: 0.4621503, Train BER (1 dB) : 0.2030945, Valid BER: 0.2075195, Tgt BER: 0.2075195, Noiseless BER 0.0000000, Valid BLER : 0.6365967
[10100/20000] At 1 dB, Loss: 0.4740264, Train BER (1 dB) : 0.2068939, Valid BER: 0.2061005, Tgt BER: 0.2061005, Noiseless BER 0.0000000, Valid BLER : 0.6304932
[10200/20000] At 1 dB, Loss: 0.4619783, Train BER (1 dB) : 0.2038269, Valid BER: 0.2116852, Tgt BER: 0.2116852, Noiseless BER 0.0000000, Valid BLER : 0.6528320
[10300/20000] At 1 dB, Loss: 0.4542466, Train BER (1 dB) : 0.2004089, Valid BER: 0.2085266, Tgt BER: 0.2085266, Noiseless BER 0.0000000, Valid BLER : 0.6412354
[10400/20000] At 1 dB, Loss: 0.4754778, Train BER (1 dB) : 0.2080536, Valid BER: 0.2070770, Tgt BER: 0.2070770, Noiseless BER 0.0000000, Valid BLER : 0.6413574
[10500/20000] At 1 dB, Loss: 0.4798729, Train BER (1 dB) : 0.2099609, Valid BER: 0.2051697, Tgt BER: 0.2051697, Noiseless BER 0.0000000, Valid BLER : 0.6401367
[10600/20000] At 1 dB, Loss: 0.4655738, Train BER (1 dB) : 0.2055206, Valid BER: 0.2054749, Tgt BER: 0.2054749, Noiseless BER 0.0000000, Valid BLER : 0.6381836
[10700/20000] At 1 dB, Loss: 0.4614773, Train BER (1 dB) : 0.2022095, Valid BER: 0.2107544, Tgt BER: 0.2107544, Noiseless BER 0.0000000, Valid BLER : 0.6297607
